text|raw_text|lang|font|sentiment|impact_intensity|impact_term
Ford reports Q1 earnings beat , boosted EV sales|Ford reports a Q1 earnings beat, boosted EV sales|eng|Yahoo Finance|positivo|alto|curto
Starbucks beats sales forecasts China recovers|Starbucks beats sales forecasts as China recovers|eng|ABC News|positivo|alto|curto
Pepecoin Overtakes Dogecoin , Shiba Inu Trading Volumes Early Buyers Take Profits|Pepecoin Overtakes Dogecoin, Shiba Inu Trading Volumes as Early Buyers Take Profits|eng|CoinDesk|neutro|alto|curto
BTC/USD Forex Signal : Gains Likely Banking Risk Remain|BTC/USD Forex Signal: More Gains Likely as the Banking Risk Remain|eng|DailyForex.com|positivo|alto|curto
AI wipe jobs CEOs count|AI will wipe out more jobs than CEOs can count|eng|Business Insider|negativo|alto|longo
High-Yield Pfizer Falls COVID Cliff , Survives|High-Yield Pfizer Falls Off The COVID Cliff, And Survives|eng|Entrepreneur|neutro|alto|curto
PacWest , Western Alliance stocks sink regional bank shakeups ahead Fed decision|PacWest, Western Alliance stocks sink on regional bank shakeups ahead of Fed decision|eng|Yahoo Finance|negativo|alto|curto
PacWest , Western Alliance crash regional bank fears continue shake markets|PacWest, Western Alliance crash as regional bank fears continue to shake markets|eng|Yahoo Finance|negativo|alto|curto
Ford first quarter revenue , profits top estimates ; EV unit loses $ 722 million|Ford first quarter revenue, profits top estimates; EV unit loses $722 million|eng|Yahoo Finance|neutro|alto|curto
Biden 's mortgage redistribution plan sparks ominous warning experts note similarities prior crisis|Biden's mortgage redistribution plan sparks ominous warning as experts note similarities to prior crisis|eng|Fox Business|negativo|alto|longo
AMD Q1 earnings : Beats revenue EPS , chip sales drop 64 %|AMD Q1 earnings: Beats on revenue and EPS, but chip sales drop 64%|eng|Yahoo Finance|neutro|alto|curto
Chegg , PacWest , Arista , Uber , SoFi , BP , Stock Market Movers|Chegg, PacWest, Arista, Uber, SoFi, BP, and More Stock Market Movers|eng|Barron's|neutro|alto|neutro
AMD revenue drops 9 % PC chip sales decline sharply|AMD revenue drops 9% as PC chip sales decline sharply|eng|CNBC|negativo|alto|curto
Morgan Stanley plans cut 3K jobs : Report|Morgan Stanley plans to cut 3K jobs: Report|eng|Fox Business|negativo|alto|curto
Morgan Stanley plans cut 3K jobs : Reuters|Morgan Stanley plans to cut 3K jobs: Reuters|eng|Fox Business|negativo|alto|curto
Bank Crisis Fallout Bloomberg Surveillance 05/02/23|Bank Crisis Fallout  Bloomberg Surveillance 05/02/23|eng|Bloomberg Television|negativo|alto|curto
JPMorgan Gets Even Bigger First Republic|JPMorgan Gets Even Bigger with First Republic|eng|Bloomberg Television|neutro|alto|neutro
UBER Stock Alert : Uber Really Surge 152 % ?|UBER Stock Alert: Can Uber Really Surge 152% From Here?|eng|InvestorPlace|neutro|alto|curto
Gold price rallies $ 33 ahead Fed decision , gets ready test all-time highs|Gold price rallies $33 ahead of Fed decision, gets ready to test all-time highs|eng|Kitco NEWS|positivo|alto|curto
US bank shares slide First Republic rescue|US bank shares slide after First Republic rescue|eng|BBC|negativo|alto|curto
Home prices back rise spring market proves competitive expected|Home prices are back on the rise as the spring market proves more competitive than expected|eng|CNBC|positivo|alto|curto
Ford Reports $ 1.8 Billion Profit Quarter|Ford Reports $1.8 Billion Profit in Quarter|eng|The New York Times|positivo|alto|curto
Kenvue IPO : Dividend-Paying , 'High-Caliber ' Company|Kenvue IPO: A Dividend-Paying, 'High-Caliber' Company|eng|Morningstar|positivo|alto|neutro
Coinbase launches overseas exchange crypto traders|Coinbase launches overseas exchange for crypto traders|eng|Yahoo Finance|positivo|alto|curto
Morgan Stanley Plans 3000 Job Cuts|Morgan Stanley Plans 3000 Job Cuts|eng|Bloomberg Television|negativo|alto|curto
Uber Freight EBITDA continues fall ; revenue drops 23 % year ago|Uber Freight EBITDA continues to fall; revenue drops 23% from year ago|eng|FreightWaves|negativo|alto|curto
AMD beats top bottom lines Q1|AMD beats on top and bottom lines in Q1|eng|CNBC Television|positivo|alto|curto
Apple Increase Dividend : Need Know|Apple Is About to Increase Its Dividend: What You Need to Know|eng|The Motley Fool|positivo|alto|curto
Ford posts stellar first quarter , boosted fleet legacy truck divisions|Ford posts stellar first quarter, boosted by fleet and legacy truck divisions|eng|CNBC|positivo|alto|curto
“ Great Stagflation ” Ahead ?|Is “The Great Stagflation” Ahead?|eng|TheStreet|neutro|alto|longo
FDIC looks change deposit insurance policy following First Republic Bank failure|FDIC looks to change deposit insurance policy following First Republic Bank failure|eng|Fox Business|neutro|alto|curto
Could Sticky Inflation Force ECB 's Hand ?|Could Sticky Inflation Force the ECB's Hand?|eng|Bloomberg Television|neutro|alto|curto
SEC 's Gensler warns 'tremors ' hedge fund sector could threaten U.S. economy|SEC's Gensler warns 'tremors' in hedge fund sector could threaten U.S. economy|eng|MarketWatch|negativo|alto|longo
Partners Lead Mass Defection Biglaw Firm , 140 Lawyers Set Join New Boutique|Partners Lead Mass Defection From Biglaw Firm, With Up To 140 Lawyers Set To Join New Boutique|eng|Above the Law|neutro|alto|curto
Gemini says DCG risks default , CFTC official reiterates ether commodity : CNBC Crypto World|Gemini says DCG risks default, and CFTC official reiterates ether is a commodity: CNBC Crypto World|eng|CNBC Television|negativo|alto|curto
Markets 'on heels extreme volatility , ' Ares Global Head says|Markets 'on the heels of extreme volatility,' Ares Global Head says|eng|Yahoo Finance|neutro|alto|curto
Lordstown Motors warns closing , bankruptcy possibility|Lordstown Motors warns closing, bankruptcy possibility|eng|Crain's Cleveland Business|negativo|alto|curto
Dow slides 470 points bank shares nosedive|Dow slides over 470 points as bank shares nosedive|eng|CNN|negativo|alto|curto
SVB failure signals Fed ’ need speed rethink|SVB failure signals Fed’s need for a speed rethink|eng|Risk.net|negativo|alto|curto
China India drive half 2023 's global economic growth : IMF|China and India to drive half of 2023's global economic growth: IMF|eng|Nikkei Asia|positivo|alto|longo
Trading Fed decision : JPMorgan traders see happening|Trading the Fed decision: What JPMorgan traders see happening|eng|CNBC|neutro|alto|curto
Traders price greater likelihood three rate cuts end 2023|Traders price in greater likelihood of three rate cuts by end of 2023|eng|Seeking Alpha|neutro|alto|longo
US legislators urge SEC prevent share offering China-backed clothing firm|US legislators urge SEC to prevent share offering by China-backed clothing firm|eng|Radio Free Asia|negativo|alto|curto
Williamsburg Diner Kellogg ’ Goes Bankrupt , Lists $ 2.5 Million Online|Williamsburg Diner Kellogg’s Goes Bankrupt, Lists for $2.5 Million Online|eng|Eater NY|negativo|alto|curto
Breakfast briefing : US regional bank jitters spread interest.co.nz|Breakfast briefing: US regional bank jitters spread  interest.co.nz|eng|Interest.co.nz|negativo|alto|curto
Time ECB Rate-Hike Meeting : Eurozone Services Inflation Spikes New Record . Overall Inflation Re-Accelerates|Just in Time for ECB Rate-Hike Meeting: Eurozone Services Inflation Spikes to New Record. Overall Inflation Re-Accelerates|eng|WOLF STREET|positivo|alto|curto
Uber 's Khosrowshahi Strong Ride Demand , AII|Uber's Khosrowshahi on Strong Ride Demand, AII|eng|Bloomberg Technology|positivo|alto|curto
headed toward recession ? : Assessing Fed 's next move economic slowdown fears grow|Are we headed toward a recession?: Assessing the Fed's next move as economic slowdown fears grow|eng|Yahoo Finance|neutro|alto|curto
Starbucks ( SBUX ) earnings Q2 2023 earnings|Starbucks (SBUX) earnings Q2 2023 earnings|eng|CNBC|neutro|alto|longo
Fed Rate Pause Coming ? Watch Words|Is a Fed Rate Pause Coming? Watch These Words|eng|Bloomberg|neutro|alto|curto
Top Banks Could Liable Jeffrey Epstein Sex Trafficking : Judge|Top Banks Could Be Liable for Jeffrey Epstein Sex Trafficking: Judge|eng|The Epoch Times|negativo|alto|curto
Starbucks earnings beat China reverses same-store sales declines|Starbucks earnings beat as China reverses same-store sales declines|eng|CNBC|positivo|alto|curto
Apple savings account offers 10 times interest US average — draws $ 1B deposits|Apple savings account offers 10 times more interest than US average — draws $1B in deposits|eng|New York Post|positivo|alto|curto
Airbus , Eutelsat , SES , Thales Make Bid EU ’ Iris² Constellation|Airbus, Eutelsat, SES, and Thales Make a Bid for EU’s Iris² Constellation|eng|Via Satellite|neutro|alto|neutro
Job openings tumble lowest point nearly two years|Job openings tumble to lowest point in nearly two years|eng|CNN|negativo|alto|curto
Apple 's high-yield savings account draws nearly $ 1 billion deposits first four days|Apple's high-yield savings account draws in nearly $1 billion deposits in first four days|eng|Daily Mail|positivo|alto|curto
Stocks trade lower Fed interest rate decision looms|Stocks trade lower as Fed interest rate decision looms|eng|Yahoo Finance|neutro|alto|curto
Tuesday Morning going business closing stores|Tuesday Morning is going out of business and closing all of its stores|eng|CNN|negativo|alto|curto
Inflation countries using euro currency inches higher seven per cent|Inflation in countries using euro currency inches higher to seven per cent|eng|euronews|negativo|alto|longo
Uber 's revenue climbs 29 % continues defy tech slump|Uber's revenue climbs 29% as it continues to defy tech slump|eng|CNN|positivo|alto|curto
Pfizer beats top bottom lines|Pfizer beats on top and bottom lines|eng|CNBC Television|positivo|alto|curto
Chegg ’ stock tumbles ChatGPT student usage , Pfizer Burger King parent shares rise results stocks move|Chegg’s stock tumbles on ChatGPT student usage, Pfizer and Burger King parent shares rise on results and other stocks on the move|eng|MarketWatch|neutro|alto|curto
recent takeover , worries JPMorgan Chase grown large|With a recent takeover, there are worries JPMorgan Chase has grown too large|eng|WUSF Public Media|negativo|alto|longo
Nasdaq 100 , Dow Jones , & P 500 : Pfizer Reports Positive Q1 Results|Nasdaq 100, Dow Jones, S&P 500: Pfizer Reports Positive Q1 Results|eng|FX Empire|positivo|alto|curto
Ford first-quarter earnings show gains , reveal EV losses|Ford first-quarter earnings show gains, reveal EV losses|eng|Detroit Free Press|neutro|alto|curto
Carl Icahn ’ Wealth Plunges $ 10 Billion Hindenburg Short-Seller Report|Carl Icahn’s Wealth Plunges $10 Billion on Hindenburg Short-Seller Report|eng|Yahoo Finance|negativo|alto|curto
Another big box retailer going business|Another big box retailer going out of business|eng|Queen City News|negativo|alto|curto
Requiem Bed Bath & Beyond|Requiem for Bed Bath & Beyond|eng|Tampa Bay Times|negativo|alto|longo
IBM CEO warns AI could wipe 'many ' jobs within 5 years|IBM CEO warns AI could wipe out 'many' jobs within 5 years|eng|Fox Business|negativo|alto|curto
Regional Bank Stocks Close Lowest Level Since 2020|Regional Bank Stocks Close at Lowest Level Since 2020|eng|The Wall Street Journal|negativo|alto|curto
AMD Slides Tepid Forecast Shows Demand Remains Sluggish|AMD Slides After Tepid Forecast Shows Demand Remains Sluggish|eng|Bloomberg|negativo|alto|curto
n't know problems might lurking banking sector , strategist says|We don't know what other problems might be lurking in the banking sector, strategist says|eng|CNBC International TV|negativo|alto|neutro
Analysts worry bigger JPMorgan 'too big fail '|Analysts worry bigger JPMorgan is 'too big to fail'|eng|Reuters|negativo|alto|longo
Pence blames Biden bank busts blasts bailouts|Pence blames Biden for bank busts and blasts bailouts|eng|Washington Examiner|negativo|alto|curto
Lordstown Motors Corp. stock plummets following dispute Foxconn|Lordstown Motors Corp. stock plummets following dispute with Foxconn|eng|Yahoo Finance|negativo|alto|curto
Starbucks beats top bottom lines Yahoo Finance 's Call|Starbucks beats on top and bottom lines  Yahoo Finance's After the Call|eng|Yahoo Finance|positivo|alto|curto
Raising Homebuying Costs Responsible Borrowers ?|Why Are We Raising Homebuying Costs for Responsible Borrowers?|eng|Heritage.org|negativo|alto|neutro
Treasury bond data signals deficit quickly increasing , says Damped Springs Advisors ' Andy Constan|Treasury bond data signals deficit is quickly increasing, says Damped Springs Advisors' Andy Constan|eng|CNBC Television|negativo|alto|curto
J & J 's Kenvue spinoff hit IPO market week biggest deal since late 2021|J&J's Kenvue spinoff to hit IPO market this week in the biggest deal since late 2021|eng|MarketWatch|positivo|alto|curto
Fed End 'Crazy ' Policy Tightening , Says SMBC 's Lavorgna|Fed Should End 'Crazy' Policy Tightening, Says SMBC's Lavorgna|eng|Bloomberg|negativo|alto|curto
Eurozone inflation rises 7 percent months decline|Eurozone inflation rises to 7 percent after months of decline|eng|Al Jazeera English|neutro|alto|curto
ChatGPT Confirms Data Breach , Raising Security Concerns|ChatGPT Confirms Data Breach, Raising Security Concerns|eng|Security Intelligence|negativo|alto|curto
Biden biggest bank failure since 2008 # shorts|Biden on the biggest bank failure since 2008 #shorts|eng|Yahoo Finance|neutro|alto|curto
Mass Unemployment ? 14 Million Jobs Vanish Coming Years Vantage Palki Sharma|Mass Unemployment? 14 Million Jobs to Vanish in Coming Years  Vantage with Palki Sharma|eng|Firstpost|negativo|alto|longo
Balaji Closes Bitcoin Bet $ 1.5M Donations , Including $ 500K Bitcoin Core Development|Balaji Closes Bitcoin Bet With $1.5M in Donations, Including $500K for Bitcoin Core Development|eng|CoinDesk|positivo|alto|neutro
Fed Likely Cut Rates Early 2024 : Nuveen 's Rodriguez|Fed Likely to Cut Rates Early 2024: Nuveen's Rodriguez|eng|Bloomberg Television|neutro|alto|longo
UnitedHealth Stocks Buy End Fed ’ Rate Hikes|UnitedHealth and Other Stocks to Buy for an End to the Fed’s Rate Hikes|eng|Barron's|positivo|alto|curto
Coinbase Launches International Exchange Bitcoin Ethereum Perpetual Futures|Coinbase Launches International Exchange with Bitcoin and Ethereum Perpetual Futures|eng|Decrypt|neutro|alto|curto
National Cybersecurity Strategy spell end government market commercial software ?|Does the National Cybersecurity Strategy spell the end of the government market for commercial software?|eng|Federal News Network|neutro|alto|neutro
3-month T-bill rate touches highest level since January 2001 debt-ceiling worries|3-month T-bill rate touches highest level since January 2001 on debt-ceiling worries|eng|MarketWatch|negativo|alto|curto
SoFi ( NASDAQ : SOFI ) Stock : ’ Technical Indicators Reveal|SoFi (NASDAQ:SOFI) Stock: Here’s What Technical Indicators Reveal|eng|TipRanks|neutro|baixo|curto
Jim Cramer 's top 10 things watch stock market Wednesday|Jim Cramer's top 10 things to watch in the stock market Wednesday|eng|CNBC|neutro|baixo|curto
Nikola Partners Voltera Hydrogen Station Funding|Nikola Partners With Voltera On Hydrogen Station Funding|eng|Yahoo Finance|positivo|baixo|curto
Hackers increasingly using ChatGPT lures spread malware Facebook|Hackers are increasingly using ChatGPT lures to spread malware on Facebook|eng|TechCrunch|negativo|baixo|curto
US manufacturing contracts sixth straight month World Business Watch Latest News WION|US manufacturing contracts for the sixth straight month  World Business Watch  Latest News  WION|eng|WION|negativo|baixo|curto
Louisville McDonald ’ owners fined minors , including 10-year-olds , found working illegally|Louisville McDonald’s owners fined after minors, including 10-year-olds, found working illegally|eng|WAVE 3|negativo|baixo|curto
Jeffrey Epstein sent ex-senior JPMorgan exec photo young woman ‘ sexually suggestive pose , ’ judge says|Jeffrey Epstein sent ex-senior JPMorgan exec photo of young woman in ‘sexually suggestive pose,’ judge says|eng|Law & Crime|negativo|baixo|curto
Ford slashes price Mustang Mach-E|Ford slashes price of Mustang Mach-E again|eng|CBS Sacramento|neutro|baixo|curto
ADP : Northeast second-highest increase jobs April|ADP: Northeast had second-highest increase of jobs in April|eng|ROI-NJ.com|positivo|baixo|curto
Asia ‘ feel good ’ 2023 China , India drive growth : IMF official|Asia can ‘feel good’ about 2023 as China, India drive growth: IMF official|eng|South China Morning Post|positivo|baixo|longo
5 Best Trending Coins Dextools Today – PEPE , WSB , BOB|5 Best Trending Coins on Dextools Today – PEPE, WSB, BOB|eng|Cryptonews|neutro|baixo|curto
Giant Eagle plans price reductions , return circulars , interim CEO says|Giant Eagle plans price reductions, return of circulars, interim CEO says|eng|TribLIVE|positivo|baixo|curto
General Mills recalls four Gold Medal Unbleached Bleached Purpose Flour varieties|General Mills recalls four Gold Medal Unbleached and Bleached All Purpose Flour varieties|eng|WBIW.com|negativo|baixo|curto
Tesla raises U.S. prices Model 3 , Model vehicles $ 250|Tesla raises U.S. prices for Model 3, Model Y vehicles by $250|eng|MarketWatch|neutro|baixo|curto
Starbucks shares slip despite earnings beat|Starbucks shares slip despite earnings beat|eng|CNBC Television|negativo|baixo|curto
GM , Ford , Stellantis Posted Strong Numbers . One Cared . 's .|GM, Ford, and Stellantis Posted Strong Numbers. No One Cared. Here's Why.|eng|Barron's|neutro|baixo|neutro
Crypto Influencer Reveals 'Sad Truth ' Investors Missing Pepe Coin Mania|Crypto Influencer Reveals 'Sad Truth' About Investors Missing Pepe Coin Mania|eng|Benzinga|negativo|baixo|curto
Bitcoin limps FOMC flagging volume adds BTC price hurdles|Bitcoin limps into FOMC as flagging volume adds to BTC price hurdles|eng|Cointelegraph|negativo|baixo|curto
Transcript Regional Economic Outlook Asia Pacific Press Briefing|Transcript of the Regional Economic Outlook on Asia and Pacific Press Briefing|eng|International Monetary Fund|neutro|baixo|neutro
Airbnb goes back basics renewed focus private room rentals|Airbnb goes back to basics with renewed focus on private room rentals|eng|The Guardian|neutro|baixo|neutro
US lawmakers urge scrutiny fashion firm Shein forced labor reports|US lawmakers urge scrutiny of fashion firm Shein over forced labor reports|eng|Legit.ng|negativo|baixo|neutro
March job openings fall 9.59 million : JOLTS|March job openings fall to 9.59 million: JOLTS|eng|Yahoo Finance|negativo|baixo|curto
Giant Eagle lock prices 800 items summer|Giant Eagle will lock in prices on 800 items this summer|eng|cleveland.com|positivo|baixo|curto
Tesla Adjusts Prices Upward Several Markets Amid Dynamic Pricing Strategy|Tesla Adjusts Prices Upward in Several Markets Amid Dynamic Pricing Strategy|eng|Not a Tesla App|neutro|baixo|curto
best Amazon Pet Day deals : Live final day highlights|The best Amazon Pet Day deals: Live final day highlights|eng|Business Insider|positivo|baixo|curto
Louisville McDonald 's restaurants fined child labor laws|Louisville McDonald's restaurants fined over child labor laws|eng|WHAS11.com|negativo|baixo|neutro
2022 Rivian R1S original moderate overlap IIHS crash test|2022 Rivian R1S original moderate overlap IIHS crash test|eng|IIHS|neutro|baixo|neutro
Starbucks stock earnings analysts think guidance conservative|Starbucks stock is down after earnings but some analysts think guidance was conservative|eng|Seeking Alpha|neutro|baixo|curto
Services PMI® 51.9 % ; April 2023 Services ISM® Report Business®|Services PMI® at 51.9%; April 2023 Services ISM® Report On Business®|eng|PR Newswire|neutro|baixo|curto
Job openings fall lowest level since April 2021|Job openings fall to lowest level since April 2021|eng|Yahoo Finance|negativo|baixo|curto
Unity Software lay 600 employees , 8 % workforce|Unity Software to lay off 600 employees, or 8% of its workforce|eng|CNBC|negativo|baixo|curto
93 major housing markets saw home price gains March 7 declined , says Black Knight|93 major housing markets saw home price gains in March while 7 declined, says Black Knight|eng|Fortune|positivo|baixo|curto
Amazon Pet Day arrived — best deals|Amazon Pet Day has arrived — here are the best deals|eng|WJW FOX 8 News Cleveland|positivo|baixo|curto
Bud Light ‘ serious trouble ’ losing status top-selling beer US , industry expert warns|Bud Light in ‘serious trouble’ of losing status as top-selling beer in US, industry expert warns|eng|Fox News|negativo|baixo|curto
Microsoft economist warns A.I . election interference 'bad actors '|Microsoft economist warns of A.I. election interference from 'bad actors'|eng|CNBC|neutro|baixo|neutro
Passenger caught video punching United crew member charged , banned airline|Passenger caught on video punching United crew member charged, banned from airline|eng|New York Post|negativo|baixo|curto
Republicans Upset Mortgage Fees|Why Republicans Are Upset About Mortgage Fees|eng|HuffPost|negativo|baixo|neutro
Today 's mortgage refinance rates dips May 3 , 2023|Today's mortgage refinance rates dips  May 3, 2023|eng|Bankrate.com|neutro|baixo|curto
Current mortgage rates increased time last week|Current mortgage rates increased from this time last week|eng|MarketWatch|negativo|baixo|curto
J & J spinoff Kenvue prices IPO $ 22 , toward top end expected range|J&J spinoff Kenvue prices IPO at $22, toward the top end of expected range|eng|CNBC|neutro|baixo|curto
Uber CEO Dara Khosrowshahi Q1 earnings|Uber CEO Dara Khosrowshahi on Q1 earnings|eng|CNBC Television|neutro|baixo|curto
Nobel economist Paul Krugman takes jab Elon Musk says dollar dominance n't worth much America .|Nobel economist Paul Krugman takes a jab at Elon Musk and says dollar dominance isn't worth much to America.|eng|Business Insider India|neutro|baixo|neutro
Tesla hikes prices U.S. , China markets multiple cuts|Tesla hikes prices in U.S., China and other markets after multiple cuts|eng|CNBC|neutro|baixo|curto
President 's Administration Warns Financial Firms AI Risks – Presidential Prayer Team|President's Administration Warns Financial Firms of AI Risks – The Presidential Prayer Team|eng|The Presidential Prayer Team|neutro|baixo|neutro
Gold Price Forecast : XAU/USD prove resilient rate hikes – Commerzbank|Gold Price Forecast: XAU/USD to prove resilient to rate hikes – Commerzbank|eng|FXStreet|neutro|baixo|longo
New Covid-19 Vaccinations Slow Trickle|New Covid-19 Vaccinations Slow to a Trickle|eng|Statista|negativo|baixo|curto
New NJ Hospital Safety Ratings Released : See Best , Worst|New NJ Hospital Safety Ratings Released: See Best, Worst|eng|Patch|neutro|baixo|neutro
Mortgage demand falls despite decline rates|Mortgage demand falls despite a decline in rates|eng|HousingWire|negativo|baixo|curto
Boeing supplier Spirit Aero flags $ 31 million hit 737 fuselage defect|Boeing supplier Spirit Aero flags $31 million hit from 737 fuselage defect|eng|Yahoo News|negativo|baixo|curto
5 things know stock market opens Wednesday|5 things to know before the stock market opens Wednesday|eng|CNBC|neutro|baixo|curto
Wichita watch Spirit AeroSystems Inc. earnings Wednesday|What Wichita should watch for in Spirit AeroSystems Inc. earnings on Wednesday|eng|The Business Journals|neutro|baixo|curto
Fed 's Sentiment Less Hawkish Ahead Meeting|Fed's Sentiment Less Hawkish Ahead of Meeting|eng|TheStreet|neutro|baixo|curto
US Regional Lenders Notch Modest Gains Two-Day Slump|US Regional Lenders Notch Modest Gains After Two-Day Slump|eng|U.S. News & World Report|neutro|baixo|curto
General Mills issues recall specific bags Gold Medal Flour|General Mills issues recall to specific bags of Gold Medal Flour|eng|SFGATE|negativo|baixo|curto
‘ ’ Game Plan ’ : Bud Light Sales Collapse amid Backlash Dylan Mulvaney Campaign|‘There’s No Game Plan’: Bud Light Sales Collapse amid Backlash to Dylan Mulvaney Campaign|eng|Yahoo News|negativo|baixo|curto
AMD beats , still second-half 2023 story . 's|AMD beats, but is still a second-half 2023 story. Here's why|eng|CNBC|neutro|baixo|longo
Podcast : room Fed - interpreting Powell future hikes|Podcast: In the room with the Fed - interpreting Powell on future hikes|eng|Reuters|neutro|baixo|curto
US Senate Banking Committee announces May 18 hearing State banking credit union industry|US Senate Banking Committee announces May 18 hearing on State of the banking and credit union industry|eng|FXStreet|neutro|baixo|neutro
Top tech firm CEOs called AI meeting White House ANC|Top tech firm CEOs called to AI meeting at White House  ANC|eng|ANC 24/7|neutro|baixo|neutro
Tuesday Morning store Round Rock close end June|Tuesday Morning store in Round Rock to close by end of June|eng|Community Impact Newspaper|negativo|baixo|curto
DeepMind , LinkedIn Co-Founders Create AI Chatbot Small Talk - Microsoft ( NASDAQ : MSFT ) , Alphabet|DeepMind, LinkedIn Co-Founders Create AI Chatbot Just For Small Talk - Microsoft (NASDAQ:MSFT), Alphabet|eng|Benzinga|neutro|baixo|neutro
Oil Prices Continue Slip Even Crude Oil Inventories Decline|Oil Prices Continue To Slip Even As Crude Oil Inventories Decline|eng|OilPrice.com|negativo|baixo|curto
Big Law Attorney Billing Rate 15-Year Low , Wells Fargo Says|Big Law Attorney Billing Rate at 15-Year Low, Wells Fargo Says|eng|Bloomberg Law|neutro|baixo|curto
Wells Fargo CEO says regional banks strong , expects turmoil|Wells Fargo CEO says regional banks are strong, but expects turmoil|eng|Yahoo Finance|neutro|baixo|neutro
Giant Eagle cut prices 800 items starting tomorrow Today Pa .|Giant Eagle to cut prices on about 800 items starting tomorrow  Today in Pa.|eng|PennLive|positivo|baixo|curto
Nordstrom closing 2 San Francisco stores , cites 'dynamics ' downtown area|Nordstrom closing 2 San Francisco stores, cites 'dynamics' of downtown area|eng|Fox Business|neutro|baixo|curto
5s : Man 's Unconventional Strategy Nets $ 5M Lottery Scratcher|All About the 5s: Man's Unconventional Strategy Nets Him $5M Lottery Scratcher|eng|NBC Southern California|positivo|baixo|curto
Latest layoffs Unity include dozens employees Israel|Latest layoffs at Unity to include dozens of employees in Israel|eng|CTech|negativo|baixo|curto
Pfizer Stock : Covid Revenues Plummet — Badly Expected Investor 's Business Daily|Pfizer Stock: Covid Revenues Plummet — But Not As Badly As Expected  Investor's Business Daily|eng|Investor's Business Daily|neutro|baixo|curto
General Mills recalls bags Gold Medal flour potential presence salmonella # shorts|General Mills recalls some bags of Gold Medal flour over potential presence of salmonella #shorts|eng|CBS Evening News|negativo|baixo|curto
Tesla raises car prices globally , biggest increase China|Tesla raises car prices globally, with the biggest increase in China|eng|CNN|neutro|baixo|curto
Twitter restores free API access emergency , weather transportation alerts|Twitter restores free API access for emergency, weather and transportation alerts|eng|Engadget|positivo|baixo|neutro
Mortgage rates fall , buyers pull back latest week|Mortgage rates fall, but buyers pull back in latest week|eng|MarketWatch|negativo|baixo|curto
Tesla reverses course starts increase prices Australia , US China|Tesla reverses course and starts to increase prices Australia, US and China|eng|The Driven|neutro|baixo|curto
Options Action : Traders bet downside Pacific Western Bank|Options Action: Traders bet on further downside for Pacific Western Bank|eng|CNBC|negativo|baixo|curto
Ford cuts price Mustang Mach-E|Ford cuts price of the Mustang Mach-E again|eng|CNN|neutro|baixo|curto
McDonald 's franchisee employed 10-year-olds , U.S. Labor Department says|McDonald's franchisee employed 10-year-olds, U.S. Labor Department says|eng|Yahoo! Voices|negativo|baixo|curto
Growth Middle East , Central Asia slow amid global challenges - IMF|Growth in Middle East, Central Asia to slow amid global challenges - IMF|eng|Reuters|negativo|baixo|neutro
Safety grades dipped 19 Michigan hospitals . score ?|Safety grades dipped for 19 Michigan hospitals. How did yours score?|eng|MLive.com|negativo|baixo|curto
Tesla raises prices Model 3 , Model series|Tesla raises prices for Model 3, Model Y series|eng|Yahoo Finance|neutro|baixo|curto
Giant Eagle lock prices 800 items summer|Giant Eagle to lock prices on 800 items this summer|eng|CBS Pittsburgh|positivo|baixo|curto
Former Coinbase Official Balaji Srinivasan Closes $ 1 Million Bitcoin Bet Early|Former Coinbase Official Balaji Srinivasan Closes Out $1 Million Bitcoin Bet Early|eng|Yahoo Finance|positivo|baixo|curto
Spring sales hold steady Fraser Valley real estate market|Spring sales hold steady in Fraser Valley real estate market|eng|Yahoo Finance|neutro|neutro|neutro
Wells Fargo CEO Says Deposit Insurance ’ Go Far|Wells Fargo CEO Says Deposit Insurance Shouldn’t Go Too Far|eng|PYMNTS.com|neutro|neutro|neutro
Equities choppy Treasury yields , dollar retreat choppy trading Fed hikes rates Reuters|Equities choppy while Treasury yields, dollar retreat in choppy trading after Fed hikes rates By Reuters|eng|Investing.com|neutro|neutro|neutro
Passenger banned assault employee California airport , airline says|Passenger banned after assault on employee at California airport, airline says|eng|Sacramento Bee|negativo|neutro|neutro
Stocks meander Treasuries , dollar fall traders wait Fed Reuters|Stocks meander while Treasuries, dollar fall as traders wait on the Fed By Reuters|eng|Investing.com|neutro|neutro|neutro
Store Closures : Future Downtown San Francisco|Store Closures: The Future of Downtown San Francisco|eng|NBC Bay Area|negativo|neutro|neutro
Read WWE 's Entire Q1 2023 Results Release , Including Details UFC-Endeavor Deal|Read WWE's Entire Q1 2023 Results Release, Including Details On UFC-Endeavor Deal|eng|Wrestling Inc.|neutro|neutro|neutro
Passenger United Airlines flight Texas allegedly punches flight attendants , attempts jump plane|Passenger on United Airlines flight to Texas allegedly punches flight attendants, attempts to jump from plane|eng|Fox Business|negativo|neutro|neutro
Rivian R1S SUV Earns IIHS TOP SAFETY PICK+ , Joining R1T Pickup|Rivian R1S SUV Earns IIHS TOP SAFETY PICK+, Joining R1T Pickup|eng|Yahoo Finance|positivo|neutro|neutro
Altcoin Season Cards Still Possible ?|Is Altcoin Season off the Cards or Still Possible?|eng|BeInCrypto|neutro|neutro|neutro
Twitter restores API access MTA 's withdrawal estimated $ 50K charges weather , transit alerts|Twitter restores API access after MTA's withdrawal over estimated $50K charges for weather, transit alerts|eng|New York Post|neutro|neutro|neutro
